Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,20711302.081805167,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5490434.515550625,0.000014538461538461542,11918232.963034507,11846232.963034507,72000.0,14316683.518505617,0.0,66266.90267790991,9476986.370427607,0.0 
 01/01  02:00:00,20458365.254468174,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5237497.688213631,0.000014538461538461542,15522383.13437894,13891299.013633475,1631084.1207454648,15793588.387636414,0.0,66266.90267790991,11113039.21090678,0.0 
 01/01  03:00:00,21767739.67652158,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,6546872.110267038,0.000014538461538461542,13573445.680254929,13501445.680254929,72000.0,16461512.126800999,0.0,66266.90267790991,10801156.544203945,0.0 
 01/01  04:00:00,20458365.254468174,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5237497.688213631,0.000014538461538461542,13912790.336809446,12281692.439558534,1631097.897250911,14561443.15139692,0.0,66266.90267790991,9825353.951646828,0.0 
 01/01  05:00:00,21767739.67652158,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,6546872.110267038,0.000014538461538461542,15769984.414883826,14138877.091384832,1631107.323498997,16962081.651940254,0.0,66266.90267790991,11311101.673107865,0.0 
 01/01  06:00:00,20458365.254468174,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,5237497.688213631,0.000014538461538461542,12788998.922120477,12716998.922120477,72000.0,14891211.736520499,0.0,115967.07968634236,10173599.137696382,0.0 
 01/01  07:00:00,21767739.67652158,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,6546872.110267038,0.000014538461538461542,16407157.167504419,14776125.811320166,1631031.3561842538,17468565.86509852,0.0,66266.90267790991,11820900.649056133,0.0 
 01/01  08:00:00,14931165.25446817,0.0,0.0,990009.6523200001,2763600.0,5940057.91392,5237497.688213631,0.000014538461538461542,14335712.520719398,12704609.02902995,1631103.4916894476,14870702.61195992,0.0,66266.90267790991,10163687.223223962,0.0 
 01/01  09:00:00,12905545.019056786,0.0,0.0,990009.6523200001,0.0,5940057.91392,5975477.4528022459,0.000014538461538461542,12417908.484987688,12345908.484987688,72000.0,14994263.484094134,0.0,66266.90267790991,9876726.78799015,0.0 
 01/01  10:00:00,9904457.89782357,0.0,0.0,990009.6523200001,0.0,5940057.91392,2974390.3315690329,0.000014538461538461542,7200940.15240468,5569821.55110796,1631118.60129672,7244093.93711127,0.0,66266.90267790991,4455857.240886368,0.0 
 01/01  11:00:00,10648055.480715828,0.0,0.0,990009.6523200001,0.0,5940057.91392,3717987.9144612906,0.000014538461538461542,8643640.49651622,7012538.519810433,1631101.976705786,8960338.073516643,0.0,66266.90267790991,5610030.815848347,0.0 
 01/01  12:00:00,9904457.89782357,0.0,0.0,990009.6523200001,0.0,5940057.91392,2974390.3315690329,0.000014538461538461542,4133615.836622102,4061615.836622102,72000.0,5965723.552407358,0.0,99400.35401686485,3249292.6692976818,0.0 
 01/01  13:00:00,10648055.480715828,0.0,0.0,990009.6523200001,0.0,5940057.91392,3717987.914461291,0.000014538461538461542,6449728.437915511,4818658.587786858,1631069.8501286533,7097768.596862162,0.0,99400.35401686483,3854926.8702294875,0.0 
 01/01  14:00:00,9904457.89782357,0.0,0.0,990009.6523200001,0.0,5940057.91392,2974390.3315690329,0.000014538461538461542,4648159.844905775,3017029.3685583916,1631130.4763473834,5159234.8862203429,0.0,149100.53102529728,2413623.4948467134,0.0 
