Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/01  01:00:00,53429524.04940898,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,662233.3436489874,20225529.61689824,20225529.61689824,16705477.152691488,0.0,16180423.69351859,0.0 
 01/01  02:00:00,54997885.96050626,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,2230595.2547462715,67784968.5296135,67784968.5296135,56061625.88162699,0.0,54227974.8236908,0.0 
 01/01  03:00:00,55456663.22516269,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,2689372.5194026988,81482060.78780751,81482060.78780751,67525201.80556333,0.0,65185648.630246,0.0 
 01/01  04:00:00,55782981.16144702,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3015690.455687028,91358518.40613382,91358518.40613382,75675741.56240714,0.0,73086814.72490707,0.0 
 01/01  05:00:00,56184845.44857981,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3417554.742819812,103457925.05422777,103457925.05422777,85730239.92395893,0.0,82766340.04338223,0.0 
 01/01  06:00:00,56350924.45170435,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3583633.74594435,108605630.55241752,108605630.55241752,89879367.78041812,0.0,86884504.44193402,0.0 
 01/01  07:00:00,56703280.33860691,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,3935989.6328469186,119166653.73104751,119166653.73104751,98706818.25027646,0.0,95333322.98483801,0.0 
 01/01  08:00:00,29071366.445691229,0.0,0.0,6567571.38096,13782000.0,4853719.3248000009,3868075.7399312288,117240719.75709154,117240719.75709154,96997866.84017249,0.0,93792575.80567323,0.0 
 01/01  09:00:00,51138486.74151541,0.0,0.0,13135142.76192,0.0,9707438.649600001,28295905.329995406,1011110680.093325,1011110680.093325,426511457.0424717,0.0,808888544.0746601,0.0 
 01/01  10:00:00,51138486.74151541,0.0,0.0,13135142.76192,0.0,9707438.649600001,28295905.329995406,789000689.5776224,789000689.5776224,271814844.2248182,0.0,631200551.6620979,0.0 
 01/01  11:00:00,100251353.67687539,0.0,0.0,52540571.04768,0.0,19414877.299200003,28295905.329995406,651366350.4068787,651366350.4068787,187443261.5879088,0.0,521093080.325503,0.0 
 01/01  12:00:00,100251353.67687539,0.0,0.0,52540571.04768,0.0,19414877.299200003,28295905.329995406,574043163.1656153,574043163.1656153,148455353.36099286,0.0,459234530.53249236,0.0 
 01/01  13:00:00,132993264.96711537,0.0,0.0,78810856.57151997,0.0,25886503.0656,28295905.329995406,496954028.7112278,496954028.7112278,104974005.81150122,0.0,397563222.9689822,0.0 
 01/01  14:00:00,132993264.96711537,0.0,0.0,78810856.57151997,0.0,25886503.0656,28295905.329995406,458465798.2225856,458465798.2225856,89030889.78604068,0.0,366772638.5780685,0.0 
 01/01  15:00:00,132993264.96711537,0.0,0.0,78810856.57151997,0.0,25886503.0656,28295905.329995406,437910517.66299596,437910517.66299596,78745033.48561225,0.0,350328414.13039669,0.0 
 01/01  16:00:00,132993264.96711537,0.0,0.0,78810856.57151997,0.0,25886503.0656,28295905.329995406,433719850.76373216,433719850.76373216,75310130.80237505,0.0,346975880.61098578,0.0 
 01/01  17:00:00,160557264.96711538,0.0,0.0,78810856.57151997,27564000.0,25886503.0656,28295905.329995406,432757106.56466987,432757106.56466987,74503471.56004669,0.0,346205685.25173589,0.0 
 01/01  18:00:00,141597353.67687539,0.0,0.0,52540571.04768,41346000.0,19414877.299200003,28295905.329995406,538804980.086481,538804980.086481,154616980.02994699,0.0,431043984.06918469,0.0 
 01/01  19:00:00,108855442.38663544,0.0,0.0,26270285.52384,41346000.0,12943251.5328,28295905.329995406,584070401.9922248,584070401.9922248,183467545.15739725,0.0,467256321.5937799,0.0 
 01/01  20:00:00,52767290.70575999,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  21:00:00,52767290.70575999,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,52767290.70575999,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,52767290.70575999,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,52858260.7346009,0.0,0.0,6567571.38096,41346000.0,4853719.3248000009,90970.02884090318,2745140.7592076596,2745140.7592076596,2272088.3613257559,0.0,2196112.607366128,0.0 
 01/02  01:00:00,54563173.54837681,0.0,0.0,6567571.38096,41346000.0,6471625.7664,177976.40101681264,5421795.957090141,5421795.957090141,4467968.75665948,0.0,4337436.765672112,0.0 
 01/02  02:00:00,54829818.27269263,0.0,0.0,6567571.38096,41346000.0,6471625.7664,444621.12533263445,13518242.133121839,13518242.133121839,11192931.845478608,0.0,10814593.706497472,0.0 
 01/02  03:00:00,54799449.88508248,0.0,0.0,6567571.38096,41346000.0,6471625.7664,414252.7377224744,12591546.667301236,12591546.667301236,10439015.814106022,0.0,10073237.333840989,0.0 
 01/02  04:00:00,55011015.08426601,0.0,0.0,6567571.38096,41346000.0,6471625.7664,625817.9369060004,19077727.12900864,19077727.12900864,15775314.69207705,0.0,15262181.703206914,0.0 
